artists,name,duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,decade,decade_label,cluster
Bruce Broughton,In the Park - Score Version,201480,1996,0.895,0.19,0.0344,0.863,0.104,-26.764,0.0369,136.641,0.0729,38.0,1990,1990s,2
E!E,Hovno,224293,1996,0.0952,0.327,0.843,0.0,0.0493,-4.961,0.167,157.107,0.556,14.0,1990,1990s,0
Aviv Geffen,יותר מידי,228200,1996,0.0135,0.112,0.681,0.769,0.347,-8.532,0.0389,178.422,0.118,10.0,1990,1990s,2
"S. P. Balasubrahmanyam, K. S. Chithra",Alolam Kili Thopilae,301776,1996,0.751,0.659,0.266,3.07e-05,0.188,-14.013,0.0382,145.56,0.691,22.0,1990,1990s,2
Amerika'n Sound,Con Tu Mirada,217907,1996,0.692,0.743,0.673,7.06e-05,0.353,-8.456,0.0325,108.068,0.919,33.0,1990,1990s,0
The Loumell Morgan Trio,"Milkman, Keep Those Bottles Quiet (Live)",193080,1996,0.989,0.659,0.57,0.903,0.116,-12.425,0.493,110.386,0.748,9.0,1990,1990s,2
Zülfü Livaneli,Hakim Bey,247474,1996,0.174,0.686,0.551,0.0015,0.249,-11.391,0.081,86.672,0.889,21.0,1990,1990s,0
"S. P. Balasubrahmanyam, K. S. Chithra",Hai Laila Priyurala,292840,1996,0.25,0.774,0.84,0.000755,0.194,-4.448,0.122,79.974,0.76,18.0,1990,1990s,0
"Skank, Michael Fossenkemper",Tão Seu,243667,1996,0.0322,0.77,0.786,0.000664,0.182,-3.516,0.0553,153.8,0.969,39.0,1990,1990s,0
TOOL,(-) Ions,240573,1996,0.938,0.221,0.566,0.693,0.323,-24.483,0.596,105.209,0.0301,46.0,1990,1990s,2
Chaozz,Nejhorsi den v mym zivote,260640,1996,0.315,0.776,0.597,0.0,0.201,-9.938,0.0906,89.124,0.609,12.0,1990,1990s,0
Joaquín Sabina,Jugar por Jugar,257000,1996,0.416,0.666,0.541,0.0,0.33,-7.908,0.0307,89.604,0.405,39.0,1990,1990s,0
Leslie Cheung,還有誰,206293,1996,0.412,0.693,0.313,0.0353,0.212,-15.405,0.0299,93.065,0.195,20.0,1990,1990s,2
Alla Pugacheva,На Тихорецкую,113067,1996,0.978,0.822,0.0806,9.3e-05,0.135,-20.331,0.459,128.235,0.877,14.0,1990,1990s,2
The Friends of Natasha,בדקה אחת שפויה - בהופעה,261507,1996,0.115,0.693,0.413,0.787,0.852,-15.481,0.0475,117.115,0.802,19.0,1990,1990s,1
Archive,Darkroom,271027,1996,0.572,0.576,0.478,0.000657,0.104,-12.101,0.114,175.526,0.0725,27.0,1990,1990s,2
"Search, Awie",Mutiara Embun,274693,1996,0.0145,0.65,0.507,0.000497,0.141,-6.315,0.0233,108.476,0.189,11.0,1990,1990s,0
Ocean Colour Scene,Get Away,475640,1996,0.0139,0.338,0.564,0.000739,0.107,-10.392,0.0397,152.076,0.216,30.0,1990,1990s,0
Sir Julian Gould,A Man And A Woman - Remastered,152707,1996,0.399,0.565,0.383,0.0035,0.0914,-16.224,0.0363,88.051,0.841,38.0,1990,1990s,2
Ismo Alanko,Aika Kuolla,393307,1996,0.0501,0.47,0.483,0.0104,0.174,-10.517,0.0288,91.148,0.358,14.0,1990,1990s,0
Mr. Big,Stay Together,215800,1996,0.0208,0.484,0.907,0.0,0.131,-4.603,0.0337,125.685,0.575,34.0,1990,1990s,0
"Fafá de Belém, David Assayag",Vermelho (feat. David Assayag),419493,1996,0.608,0.513,0.632,0.0,0.101,-8.622,0.0392,83.179,0.801,49.0,1990,1990s,0
"Madonna, Jonathan Pryce",I'd Be Surprisingly Good for You,258667,1996,0.871,0.568,0.291,0.0,0.0888,-13.888,0.047,100.647,0.425,36.0,1990,1990s,2
"Arik Einstein, Shem-Tov Levy Ensemble",אהבת פועלי הבניין,172600,1996,0.433,0.774,0.639,0.0,0.0554,-8.748,0.0301,124.394,0.969,12.0,1990,1990s,0
Tumbleweed,Silver Lizard,185160,1996,7.84e-06,0.534,0.79,0.917,0.108,-7.646,0.0309,135.661,0.97,29.0,1990,1990s,0
"Jaroslav Samson Lenk, Maci",Pohoda,182747,1996,0.504,0.52,0.436,0.0,0.0598,-15.209,0.0347,154.699,0.93,12.0,1990,1990s,0
The Animals,House of the Rising Sun,269907,1996,0.000334,0.316,0.484,0.00445,0.0912,-9.11,0.0308,117.363,0.299,47.0,1990,1990s,0
Sobrevigencia,Loco de Amor,200907,1996,0.698,0.758,0.3,2.19e-06,0.132,-14.529,0.0653,119.886,0.452,6.0,1990,1990s,2
"Paco de Lucía, John McLaughlin, Al Di Meola",Beyond The Mirage,370000,1996,0.867,0.659,0.571,0.853,0.118,-13.275,0.0312,107.06,0.426,49.0,1990,1990s,2
Elim Guatemala,Preparen Los Instrumentos,223333,1996,0.358,0.539,0.767,0.0,0.286,-9.379,0.227,156.121,0.546,16.0,1990,1990s,0
Sleeper,What Do I Do Now,220400,1996,0.0958,0.542,0.679,0.0,0.0961,-6.607,0.0305,119.5,0.642,28.0,1990,1990s,0
Ceca,"Neodoljiv, Neumoljiv",172640,1996,0.18,0.753,0.836,0.00043,0.101,-8.41,0.0506,110.061,0.964,33.0,1990,1990s,0
LeAnn Rimes,Blue,169547,1996,0.595,0.545,0.452,1.29e-06,0.161,-8.604,0.0248,91.294,0.297,55.0,1990,1990s,2
Bhai Ravinder Singh,Main Chaare Kunda Bhaalia,786680,1996,0.302,0.437,0.55,0.0,0.234,-10.836,0.0341,127.402,0.675,27.0,1990,1990s,0
Rita,עד שתעזוב,245400,1996,0.928,0.342,0.271,0.0,0.1,-11.435,0.0355,125.397,0.252,29.0,1990,1990s,2
Miles Davis,It Never Entered My Mind,244360,1996,0.968,0.286,0.0376,0.165,0.116,-22.851,0.0384,80.05,0.337,26.0,1990,1990s,2
Lucio Dalla,Canzone,269533,1996,0.162,0.761,0.745,2.75e-06,0.1,-7.583,0.0318,116.0,0.896,54.0,1990,1990s,0
Schürzenjäger,Der Jodelautomat (Japaner),165027,1996,0.091,0.662,0.774,0.0,0.126,-4.944,0.0456,123.266,0.896,21.0,1990,1990s,0
IVAN CRUZ,Ficha Marcada,234067,1996,0.0223,0.555,0.654,9.24e-06,0.135,-8.495,0.0556,98.895,0.493,15.0,1990,1990s,0
Cassiane,Entregue Tudo a Deus,231317,1996,0.717,0.551,0.326,0.0,0.249,-12.107,0.0334,134.08,0.45,27.0,1990,1990s,2
Spice Girls,Who Do You Think You Are,240707,1996,0.0226,0.727,0.83,0.00356,0.73,-6.658,0.0376,118.002,0.899,62.0,1990,1990s,0
Farid Hardja,Ini Rindu,277342,1996,0.847,0.752,0.683,0.888,0.0802,-9.517,0.12,91.399,0.35,20.0,1990,1990s,2
Dennys Del Rio,El Pajarillo,177920,1996,0.703,0.677,0.609,0.000198,0.182,-9.469,0.0338,110.452,0.832,28.0,1990,1990s,0
Ales Brichta,V Uniformě Lokaje,243867,1996,0.381,0.689,0.746,0.0,0.297,-10.416,0.0338,120.007,0.779,18.0,1990,1990s,0
Marcos Vidal,No Te Quepa Duda,263889,1996,0.758,0.398,0.145,3.45e-06,0.0873,-15.7,0.0365,123.734,0.217,27.0,1990,1990s,2
Moist,Gasoline,193840,1996,0.796,0.288,0.178,0.0267,0.109,-16.462,0.0315,154.629,0.191,26.0,1990,1990s,2
Sam Gooris,Laat Het Gras Maar Groeien,249427,1996,0.0443,0.697,0.933,0.0,0.333,-6.469,0.0287,135.996,0.98,22.0,1990,1990s,0
"Alka Yagnik, Abhijeet",Main Tujhse Aise Milun,321467,1996,0.488,0.541,0.94,0.00683,0.0593,-6.368,0.115,182.454,0.895,30.0,1990,1990s,0
Luis Miguel,Que Tú Te Vas,252467,1996,0.546,0.506,0.628,9.04e-06,0.205,-5.205,0.0323,132.339,0.122,44.0,1990,1990s,0
Ümit Besen,Posta Kutusu,263445,1996,0.806,0.341,0.644,0.00115,0.154,-8.461,0.0804,167.608,0.608,21.0,1990,1990s,2
Zezé Di Camargo & Luciano,"Brigue Comigo, Mas Não Vá",216933,1996,0.363,0.753,0.549,0.0,0.189,-8.509,0.033,114.049,0.785,38.0,1990,1990s,0
"Skank, Manu Chao",Los Pretos (feat. Manu Chao),239133,1996,0.000729,0.686,0.937,0.000246,0.219,-4.644,0.0381,100.088,0.414,33.0,1990,1990s,0
"Neffa, Kaos One",I Fieri B-Boyz,212333,1996,0.475,0.46,0.772,0.0,0.393,-10.511,0.234,92.12,0.375,22.0,1990,1990s,1
DJ Spooky,Galactic Funk,367787,1996,0.111,0.592,0.956,0.871,0.177,-10.39,0.159,92.9,0.61,37.0,1990,1990s,0
Laura Pausini,Il mondo che vorrei,250240,1996,0.733,0.45,0.306,0.0,0.098,-9.416,0.0301,130.143,0.318,24.0,1990,1990s,2
Madeleine Peyroux,Lovesick Blues,137027,1996,0.909,0.727,0.0663,0.0,0.303,-14.114,0.0519,88.382,0.534,41.0,1990,1990s,2
Sepultura,Cut-Throat,164733,1996,0.000266,0.425,0.958,0.00486,0.101,-6.184,0.118,99.672,0.258,45.0,1990,1990s,0
ก้อย พรพิมล ธรรมสาร,แหวนแลกใจ,225853,1996,0.138,0.417,0.383,7.24e-06,0.12,-14.807,0.0281,89.904,0.394,9.0,1990,1990s,2
Pearl,Aku Tidak Bersalah,313893,1996,0.507,0.631,0.375,0.0,0.331,-8.607,0.0241,94.951,0.26,20.0,1990,1990s,2
"Krishnachander, Swarnalatha",Maana Madhurai,299600,1996,0.56,0.784,0.821,1.87e-05,0.352,-4.324,0.0514,109.925,0.8,16.0,1990,1990s,0
Rhoma Irama,Bujangan,255055,1996,0.46,0.636,0.473,0.0,0.0672,-11.648,0.0402,89.736,0.784,31.0,1990,1990s,0
Wings,Enigma,200040,1996,1.96e-05,0.471,0.923,6.54e-05,0.101,-7.166,0.0979,112.337,0.439,15.0,1990,1990s,0
Ron,Anima,280733,1996,0.204,0.657,0.471,1.54e-05,0.0618,-8.895,0.0324,132.092,0.157,25.0,1990,1990s,0
Jean-Jacques Goldman,Pas toi,330893,1996,0.692,0.267,0.37,1.66e-05,0.113,-8.411,0.0365,75.603,0.108,26.0,1990,1990s,2
Manic Street Preachers,Kevin Carter - Remastered Version,204867,1996,0.0478,0.426,0.797,1.1e-05,0.207,-4.268,0.0419,126.674,0.516,33.0,1990,1990s,0
Neffa,La Ballotta,320493,1996,0.239,0.713,0.775,2.71e-05,0.12,-5.915,0.182,77.025,0.744,35.0,1990,1990s,0
La Pestilencia,Vive Tú Vida (Live),177827,1996,9.33e-05,0.328,0.984,0.713,0.359,-2.706,0.148,117.529,0.472,30.0,1990,1990s,0
Stichting Opwekking,Ik Ben Veilig in Jezus' Armen (86),198867,1996,0.584,0.498,0.322,0.0,0.166,-12.683,0.0266,150.124,0.361,20.0,1990,1990s,2
Noche Azul,En Tu Corazon,255864,1996,0.421,0.474,0.885,1.33e-06,0.138,-4.483,0.0621,114.361,0.705,13.0,1990,1990s,0
Agrupacion Mi Casa y Yo,Nos Vamos a Gozar,168066,1996,0.322,0.806,0.8,0.0019,0.124,-8.704,0.0579,101.992,0.962,13.0,1990,1990s,0
Grace,Not Over Yet,361893,1996,0.00277,0.553,0.796,0.0279,0.0437,-9.153,0.0385,130.401,0.522,48.0,1990,1990s,0
Tanya Tucker,Strong Enough To Bend,164267,1996,0.743,0.628,0.409,1.29e-05,0.0877,-11.063,0.0273,91.798,0.661,32.0,1990,1990s,2
Agrupacion Mi Casa y Yo,El Amor de Dios,210071,1996,0.592,0.498,0.519,0.0833,0.266,-10.118,0.0254,167.98,0.653,12.0,1990,1990s,0
Marco Antonio Solís,"Recuerdos, Tristeza Y Soledad",265987,1996,0.15,0.737,0.499,2.57e-06,0.118,-9.159,0.0255,102.92,0.658,47.0,1990,1990s,0
Oscar D'León,Hechicera,304348,1996,0.249,0.69,0.82,0.0109,0.3,-10.354,0.036,97.83,0.968,35.0,1990,1990s,0
木吉他,散場電影,233840,1996,0.569,0.531,0.307,0.00194,0.122,-16.415,0.0303,133.832,0.558,16.0,1990,1990s,2
Teodora Paunescu Tuca,Salcia,170973,1996,0.984,0.336,0.113,0.00015,0.136,-17.78,0.0509,103.777,0.503,8.0,1990,1990s,2
Pedro Abrunhosa,Nunca Te Perdi,311440,1996,0.446,0.732,0.24,0.0595,0.116,-14.454,0.0842,120.431,0.238,10.0,1990,1990s,2
Powderfinger,Skinny Jean,237360,1996,0.00483,0.719,0.534,0.000193,0.44,-9.716,0.0247,106.831,0.786,29.0,1990,1990s,0
"Daniel Santos, La Sonora Matancera",El Niño Majadero,180024,1996,0.804,0.686,0.63,0.0467,0.0881,-7.533,0.0456,111.501,0.949,37.0,1990,1990s,0
Vera Martinova,Batalion,191387,1996,0.834,0.497,0.163,1.02e-05,0.162,-15.659,0.0405,130.128,0.539,9.0,1990,1990s,2
Chaozz,Sam doma,227467,1996,0.0101,0.678,0.784,0.0,0.169,-6.907,0.259,184.075,0.88,11.0,1990,1990s,0
Matia Bazar,Solo Tu - 1996 Digital Remaster,209293,1996,0.673,0.652,0.589,0.0248,0.187,-7.486,0.0313,79.983,0.814,51.0,1990,1990s,0
Weezer,Across The Sea,272773,1996,0.00529,0.27,0.91,0.0,0.0878,-5.626,0.0538,126.289,0.27,48.0,1990,1990s,0
YEN TOWN BAND,Swallowtail Butterfly~あいのうた~ - Remastered 2015,289000,1996,0.467,0.517,0.466,0.00106,0.117,-7.243,0.0276,74.927,0.354,47.0,1990,1990s,2
"Baby Rasta, Gringo",Tengo Una Punto 40,157129,1996,0.0602,0.769,0.904,5.03e-06,0.116,-6.785,0.2,108.237,0.402,42.0,1990,1990s,0
Østkyst Hustlers,Hey-Hoh,103143,1996,0.833,0.968,0.509,1.03e-05,0.132,-8.307,0.0604,113.973,0.971,15.0,1990,1990s,0
Sabahat Akkiraz,Değme Felek,284773,1996,0.881,0.738,0.343,0.0,0.0514,-9.815,0.039,135.121,0.794,39.0,1990,1990s,2
Hallucinogen,Orphic Thrench,442107,1996,0.0105,0.611,0.95,0.316,0.408,-9.75,0.0366,138.995,0.474,22.0,1990,1990s,0
El As De La Sierra,De Esta Sierra A Otra Sierra,137933,1997,0.35,0.6,0.556,0.000701,0.127,-7.453,0.0551,144.498,0.981,51.0,1990,1990s,0
Los Cafres,Velas y Sahumerios,266533,1997,0.0863,0.77,0.419,5.49e-05,0.135,-9.678,0.0559,79.983,0.786,35.0,1990,1990s,0
La Portuaria,El Bar De La Calle Rodney,250729,1997,0.0546,0.644,0.866,0.000964,0.714,-9.573,0.0458,105.648,0.711,31.0,1990,1990s,1
"Éric Serra, Inva Mula",The Diva Dance,93747,1997,0.051,0.72,0.757,0.378,0.0575,-8.044,0.0926,120.113,0.68,45.0,1990,1990s,0
Alípio Martins,Onde andará você,238093,1997,0.539,0.562,0.805,1.36e-05,0.116,-6.212,0.0284,94.914,0.882,41.0,1990,1990s,0
Puff Johnson,Come Closer,281560,1997,0.42,0.614,0.451,0.0311,0.0935,-14.834,0.0718,90.988,0.402,12.0,1990,1990s,2
Mariah Carey,Babydoll,306240,1997,0.0749,0.773,0.414,5.97e-06,0.0591,-7.541,0.0476,125.879,0.461,42.0,1990,1990s,0
Taeko Onuki,Happy-Go-Lucky,266627,1997,0.481,0.735,0.779,0.492,0.109,-9.738,0.0441,99.08,0.783,20.0,1990,1990s,0
Los inquietos del vallenato,Ahora Que Te Vas,305320,1997,0.502,0.675,0.714,0.0,0.146,-6.524,0.0327,135.605,0.651,50.0,1990,1990s,0
Dato' Sri Siti Nurhaliza,Sri Mersing,304267,1997,0.167,0.671,0.477,0.00237,0.153,-9.13,0.027,105.907,0.285,18.0,1990,1990s,0
Johnny Madsen,En Nat På Jorden,253600,1997,0.226,0.619,0.812,1.03e-05,0.356,-7.287,0.032,125.004,0.961,24.0,1990,1990s,0
Lara Fabian,Si Tu M’aimes,209733,1997,0.389,0.527,0.493,0.0,0.17,-7.474,0.0288,123.958,0.243,38.0,1990,1990s,0
Arthur,Zombo - Maestro Mix,344387,1997,0.052,0.812,0.673,5.7e-05,0.325,-8.168,0.0412,109.995,0.61,11.0,1990,1990s,0
Teapacks,למה הלכת ממנו,189520,1997,0.0406,0.682,0.72,0.000704,0.0628,-6.929,0.0449,110.305,0.935,16.0,1990,1990s,0
Maria Bramsen,En Lille Fugl Med Grønne Fjer,123147,1997,0.551,0.703,0.57,0.0,0.326,-6.799,0.0567,93.546,0.73,22.0,1990,1990s,0
blink-182,Dammit,165373,1997,0.00168,0.429,0.974,0.0,0.164,-5.136,0.0899,110.373,0.33,65.0,1990,1990s,0
Ricky Nelson,Hello Mary Lou (Goodbye Heart),140200,1997,0.523,0.577,0.593,0.0,0.0707,-11.966,0.0305,97.879,0.925,38.0,1990,1990s,0
Alka Yagnik,Meri Sansaon Main Basa Hai,448507,1997,0.941,0.403,0.397,0.0126,0.141,-14.742,0.04,153.327,0.654,20.0,1990,1990s,2
Bana,Cabinda A Cunene,303400,1997,0.138,0.742,0.566,5.08e-06,0.105,-11.04,0.0653,97.442,0.801,30.0,1990,1990s,0
Romina Power,Il ballo del qua qua,170467,1997,0.548,0.633,0.767,0.0,0.133,-8.053,0.209,177.2,0.909,32.0,1990,1990s,0
Viento En Contra,No Pares,403747,1997,0.0496,0.338,0.551,0.000243,0.133,-12.516,0.0394,145.24,0.105,12.0,1990,1990s,2
Michael Jackson,Superfly Sister,387267,1997,0.0115,0.816,0.909,0.0248,0.1,-4.476,0.0518,112.963,0.827,39.0,1990,1990s,0
Amatshitshi Amhlophe,Amadloz' Akho Mntanami,246067,1997,0.0501,0.72,0.537,0.001,0.0525,-15.467,0.0501,144.156,0.961,9.0,1990,1990s,0
"Roz Ryan, Chorus - Hercules",The Gospel Truth II,59200,1997,0.587,0.371,0.261,5.39e-06,0.114,-14.237,0.0431,81.052,0.188,44.0,1990,1990s,2
Clint Black,Nothin' But The Taillights,233960,1997,0.223,0.56,0.841,7.03e-05,0.365,-7.92,0.0432,154.852,0.756,50.0,1990,1990s,0
Just Jinger,Father And Farther,239493,1997,0.258,0.456,0.589,2.78e-05,0.14,-6.337,0.0982,151.567,0.182,17.0,1990,1990s,0
Disney - Arielle die Meerjungfrau,Kapitel 35: Arielle die Meerjungfrau,90840,1997,0.751,0.639,0.558,0.0,0.41,-11.131,0.827,120.451,0.537,37.0,1990,1990s,1
Huang Yee Ling,愛你無條件,273093,1997,0.11,0.547,0.379,0.0,0.0902,-9.155,0.0274,132.036,0.279,41.0,1990,1990s,0
"Luciano Pavarotti, Orchestra del Teatro Comunale di Bologna, Riccardo Chailly","Rigoletto / Act 1: ""Questa o quella""",97667,1997,0.963,0.488,0.392,0.0,0.361,-14.517,0.0658,88.771,0.775,43.0,1990,1990s,2
"Gidi Gov, Shlomo Ydov",תמיד,185560,1997,0.69,0.693,0.519,1e-06,0.138,-8.18,0.0281,108.375,0.88,11.0,1990,1990s,0
Los del bohio,A Mi Gente,239013,1997,0.561,0.794,0.594,1.85e-06,0.0809,-6.685,0.0507,115.358,0.969,26.0,1990,1990s,0
李慶成,無奈的愛,165160,1997,0.224,0.321,0.312,0.0,0.221,-12.211,0.0316,204.777,0.504,25.0,1990,1990s,2
Power Station,Happy By Your Side,272400,1997,0.0778,0.586,0.703,0.0,0.133,-8.148,0.0295,144.016,0.419,12.0,1990,1990s,0
Jean-Jacques Goldman,Sache que je,325067,1997,0.0503,0.535,0.591,0.0639,0.0505,-10.144,0.0263,148.243,0.546,42.0,1990,1990s,0
Los Gigantes Del Vallenato,Si Tú No Estas,269270,1997,0.482,0.804,0.525,0.0,0.0616,-11.349,0.0589,143.032,0.83,24.0,1990,1990s,0
Cesária Evora,Partida,376906,1997,0.693,0.498,0.341,0.00171,0.117,-10.319,0.0319,125.306,0.227,37.0,1990,1990s,2
Uncle Sam,Baby You Are,253133,1997,0.164,0.709,0.544,0.0,0.0808,-5.497,0.0272,113.85,0.488,24.0,1990,1990s,0
Céline Dion,When I Need You,251267,1997,0.396,0.258,0.368,3.76e-06,0.119,-10.353,0.0466,76.843,0.161,53.0,1990,1990s,2
Sounds Of Blackness,Hold On (Change Is Comin'),260707,1997,0.0437,0.685,0.836,3.87e-06,0.0175,-4.783,0.0554,93.023,0.848,47.0,1990,1990s,0
Acda en de Munnik,Het Geeft Niet,183480,1997,0.488,0.397,0.375,0.0,0.206,-7.515,0.0269,97.644,0.316,29.0,1990,1990s,2
Big Fat Snake,Rock The Rock,189213,1997,0.0149,0.397,0.912,0.0,0.253,-3.364,0.0511,154.02,0.478,14.0,1990,1990s,0
Janet Jackson,Together Again,301200,1997,0.078,0.873,0.593,0.00697,0.104,-8.942,0.103,123.091,0.495,69.0,1990,1990s,0
Sinéad O'Connor,He Moved Through the Fair,262933,1997,0.936,0.216,0.185,2.18e-05,0.104,-13.28,0.0427,82.533,0.109,43.0,1990,1990s,2
Monica Naranjo,Ámame o Déjame,300067,1997,0.563,0.52,0.533,0.000665,0.829,-5.321,0.0308,128.08,0.305,36.0,1990,1990s,1
Juan Perro,Señora Del Mar,200413,1997,0.177,0.818,0.495,8.96e-05,0.134,-10.667,0.0374,120.026,0.886,24.0,1990,1990s,0
Blur,You're so Great - 2012 Remaster,215773,1997,0.778,0.501,0.723,0.78,0.342,-9.792,0.0356,133.196,0.637,45.0,1990,1990s,2
Zezé Di Camargo & Luciano,Preciso do Seu Coração,248307,1997,0.537,0.602,0.633,0.0,0.116,-6.614,0.0275,108.398,0.343,36.0,1990,1990s,0
Só Pra Contrariar,Depois do Prazer,269400,1997,0.636,0.579,0.385,0.0,0.0478,-14.643,0.0431,108.793,0.769,55.0,1990,1990s,2
Rolf Zuckowski,Du da im Radio,157667,1997,0.194,0.617,0.749,0.000866,0.0719,-5.059,0.0486,118.366,0.513,27.0,1990,1990s,0
Kamelot,Ahoj Pegi,174067,1997,0.399,0.49,0.639,0.00736,0.0594,-10.463,0.0293,143.232,0.893,17.0,1990,1990s,0
Old & In The Way,Wild Horses,278533,1997,0.646,0.45,0.313,0.24,0.441,-15.786,0.0309,100.299,0.547,48.0,1990,1990s,2
"Carola, The Boys",Hunajainen - A Taste of Honey - 1965 versio,146573,1997,0.908,0.483,0.202,8.43e-06,0.101,-14.404,0.0368,118.835,0.282,13.0,1990,1990s,2
Budka Suflera,Radio taxi,296613,1997,0.47,0.601,0.597,0.000184,0.306,-7.468,0.0362,170.924,0.777,20.0,1990,1990s,0
Pentagram,Give Me Something to Kill the Pain,253640,1997,0.00337,0.543,0.807,0.0,0.119,-7.203,0.0387,168.085,0.667,22.0,1990,1990s,0
Aerosmith,Pink,235360,1997,0.0134,0.432,0.751,4.58e-06,0.126,-5.124,0.0423,171.85,0.776,63.0,1990,1990s,0
Heavy D,Big Daddy,249200,1997,0.113,0.756,0.521,0.0,0.147,-8.266,0.504,178.391,0.591,42.0,1990,1990s,0
Ashley,Todita Tuya,268000,1997,0.3,0.808,0.839,0.00924,0.0559,-6.4,0.0395,120.265,0.961,15.0,1990,1990s,0
Svanhildur Jakobsdóttir,Litlu andarungarnir,111688,1997,0.835,0.578,0.228,0.0,0.181,-13.359,0.0289,79.532,0.652,7.0,1990,1990s,2
Molotov,¿Por Qué No Te Haces Para Alla?.. Al Mas Alla,287560,1997,0.00193,0.75,0.722,1.37e-06,0.615,-6.668,0.0569,96.228,0.587,28.0,1990,1990s,0
Gabriel O Pensador,"Festa da Música / Bye Bye Tristeza / Devagar, Devagarinho",368560,1997,0.319,0.864,0.792,0.0,0.338,-10.224,0.149,102.83,0.849,42.0,1990,1990s,0
Tatiana Bulanova,Мой ненаглядный,242200,1997,0.387,0.787,0.843,8.47e-05,0.3,-8.416,0.0408,110.006,0.798,43.0,1990,1990s,0
Mumiy Troll,Забавы,155907,1997,0.641,0.708,0.443,0.0071,0.103,-10.359,0.0324,145.922,0.865,43.0,1990,1990s,0
Disney - Cinderella,Kapitel 31: Cinderella,96467,1997,0.535,0.63,0.401,0.0,0.199,-14.701,0.927,81.612,0.626,32.0,1990,1990s,1
Samson & Gert,Feest in De Straat,228667,1997,0.573,0.628,0.643,0.0,0.162,-7.715,0.0423,117.209,0.657,20.0,1990,1990s,0
NOFX,The Desperation's Gone,144467,1997,0.000142,0.404,0.873,1.56e-06,0.0929,-5.249,0.0784,93.267,0.604,35.0,1990,1990s,0
"Eros Ramazzotti, Luca Bignardi",Cuanto Amor Me Das,257000,1997,0.1,0.789,0.654,0.000108,0.0981,-7.212,0.0267,112.024,0.719,49.0,1990,1990s,0
Mystikal,Unpredictable,209227,1997,0.0506,0.688,0.689,0.0,0.316,-8.141,0.298,175.621,0.543,34.0,1990,1990s,0
Ronnie van Bemmel,Ik Ben Blij Dat Ik Je Niet Vergeten Ben,193123,1997,0.0925,0.756,0.863,0.0,0.354,-7.649,0.0656,126.065,0.932,26.0,1990,1990s,0
Black Box,Fall into My Love,311400,1997,0.425,0.716,0.739,0.000114,0.0868,-5.541,0.0433,99.977,0.707,35.0,1990,1990s,0
THE YELLOW MONKEY,LOVE LOVE SHOW,286070,1997,0.00153,0.422,0.926,0.0,0.0921,-6.418,0.188,150.047,0.369,41.0,1990,1990s,0
K-Ci & JoJo,How Could You,297827,1997,0.147,0.618,0.49,0.0,0.267,-6.99,0.0321,147.948,0.471,36.0,1990,1990s,0
Elliott Smith,Angeles - Remastered 2017,176827,1997,0.877,0.551,0.184,0.431,0.14,-18.241,0.0506,118.203,0.622,25.0,1990,1990s,2
Legião Urbana,Clarisse,633707,1997,0.591,0.662,0.166,0.000922,0.106,-11.518,0.0313,112.193,0.0911,39.0,1990,1990s,2
Marco Antonio Solís,Ya Aprenderas,226440,1997,0.346,0.658,0.297,0.000596,0.124,-9.912,0.0256,93.774,0.425,38.0,1990,1990s,2
Nilüfer,Unut Gitsin,305933,1997,0.802,0.506,0.401,2.93e-06,0.087,-10.27,0.0339,107.021,0.355,25.0,1990,1990s,2
Charlie Brown Jr.,Tudo Que Ela Gosta De Escutar,176067,1997,0.118,0.859,0.662,1.67e-05,0.0246,-2.611,0.0472,115.384,0.915,62.0,1990,1990s,0
"Arik Einstein, Shem-Tov Levy Ensemble",קשה לכתוב דמעות,268107,1997,0.0254,0.502,0.63,2.72e-05,0.121,-8.026,0.0246,92.919,0.537,16.0,1990,1990s,0
Netinho,Milla - Versão Estúdio,301467,1997,0.236,0.63,0.638,0.0,0.228,-12.184,0.07,144.24,0.555,18.0,1990,1990s,0
Juana La Loca,Vida Modelo,165160,1997,0.000174,0.545,0.587,0.0,0.0888,-6.687,0.0294,144.564,0.517,33.0,1990,1990s,0
Air Supply,The Book of Love,290000,1997,0.377,0.422,0.443,0.795,0.0668,-10.819,0.0431,155.906,0.398,35.0,1990,1990s,2
Azucar Moreno,Ven Devórame Otra Vez,333693,1997,0.0505,0.683,0.68,1.44e-05,0.0631,-11.772,0.0415,103.044,0.746,48.0,1990,1990s,0
"Sebastion Cabot, Phil Harris","The Bare Necessities (Reprise) - From ""The Jungle Book""/Soundtrack Version",54480,1997,0.754,0.456,0.419,0.0111,0.313,-9.99,0.059,206.077,0.961,35.0,1990,1990s,0
Abel Pintos,Para Cantar He Nacido,206853,1997,0.506,0.432,0.458,5.38e-05,0.116,-8.97,0.139,73.413,0.211,31.0,1990,1990s,2
Lope Balaguer,Cuando Vuelva la Nieve,167293,1997,0.53,0.567,0.327,5.94e-06,0.267,-12.037,0.0301,108.475,0.532,7.0,1990,1990s,2
Eros Ramazzotti,La Aurora,335027,1997,0.088,0.631,0.495,0.0,0.106,-7.638,0.0335,132.011,0.301,37.0,1990,1990s,0
Die drei ???,075 - Die Spur des Raben - Teil 10,86560,1997,0.217,0.649,0.52,0.0,0.129,-11.542,0.511,92.508,0.586,36.0,1990,1990s,1
